FAMILIA;SUBFAMILIA;PRODUCTO;MEDIDAS
Otros;"3/4 -16;"3/4 -16 X 3.437"" Eje Rockwell R.Trasera.";N/A
Otros;"#14 X;"#14 X 1-1/2"" ACC EPDM/ACERO";N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR5 3/4-10 X 5;N/A
Pijas;PIJA TABLARROCA;PIJA TABLARROCA NF P-T-R NGRA 6 X 1.5/8;N/A
Pijas;PIJA CABEZA/FIJADORA;PIJA CABEZA/FIJADORA PARA MADERA 6 x 3/4;N/A
Otros;SENSOR OXIGENO;SENSOR OXIGENO VOLKSWAGEN GOLF, JETTA, COMBI (93-99);N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL FLANGE GR-8 1/2-13 X 5;N/A
Tornillos;TORNILLO SOCKET;TORNILLO SOCKET CABEZA/CILINDRO INOXIDABLE 304 FINO;10-32 x 1/2|10-32 x 3/4|10-32 x 1|10-32 x 1-1/4|10-32 x 1-1/2 NVO|1/4-28 x 1/2|1/4-28 x 3/4|1/4-28 x 1|5/16-24 x 3*****
Otros;"1/2-20 X;"1/2-20 X 1.625"" JeepWrangler 4x4";N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 5/8-11 X 1.1/2;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL AGUDA 14 X 2-1/2;N/A
Otros;ARMELLA ABIERTA;ARMELLA ABIERTA 15 X 30;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA PLUS EMP 14 X 1;N/A
Otros;M12X1.5x 40.6mm;M12X1.5x 40.6mm Buick,Truck,Isuzu Ponti WS-254;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 1/2-13 X 4-1/2;N/A
Otros;TAQUETE TX;TAQUETE TX TROP GALAXY C 3/8 T 5/16-18 X 3.1/2 LARGO;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NC NEGRA 3/8-16;N/A
Birlos;BIRLO FLECHA;BIRLO FLECHA 3/8-16/24 X 3 1/2;N/A
Pijas;PIJA CABEZA/PLANA;PIJA CABEZA/PLANA PH BROCA  EMP 10 X 1-1/4;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA EMP 5/8-11 X 3;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 EMP 10-24;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 EMP 1/4-20 X 1.1/4;N/A
Tornillos;TORNILLO ALL;TORNILLO ALL CIL CAB/BAJA M12-1.75 X 20;N/A
Otros;Bobina ignicion;Bobina ignicion Ford Focus, Ikon, Fiesta, Courier (UF654);N/A
Otros;M22 x;M22 x 1.5 x 101mm Mercedez Rin Aluminio;N/A
Otros;CHAVETA NEGRA;CHAVETA NEGRA 1/4 X 1-1/4;N/A
Tuercas;TUERCA CONICA;TUERCA CONICA 9/16-18;N/A
Otros;58 CASQUILLO;58 CASQUILLO 3/16 NC X 7-1.00;N/A
Otros;Bobina ignicion;Bobina ignicion Ford Windstard, Freestar (FD498);N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 3/4 X 5;N/A
Rondanas;RONDANA ESTRELLA;RONDANA ESTRELLA INTERIOR 1/2;N/A
Otros;Conica Ford;Conica Ford Lobo M12 x 1.75, Hex 19 mm;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB GOTA COMBI 5-40 X 1;N/A
Otros;Sensor cigüeñal;Sensor cigüeñal Chevrolet Astra, Meriva, 00-08 4Cil;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NC NEGRA 3/4-10;N/A
Tornillos;TORNILLO ALL;TORNILLO ALL CIL CAB/BAJA;6-32 x 1/4|6-32 x 3/8|6-32 x 1/2|6-32 x 3/4|6-32 x 1 nuevo|8-32 x 3/8|8-32 x 1/2|8-32 x 3/4|8-32 x 1|10-24 x 3/8|10-24 x 1/2|10-24 x 3/4|10-24 x 1|10-24 x 1-1/4|1/4-20 x 3/8|1/4-20 x 1/2|1/4-20 x 5/8|1/4-20 X 3/4|1/4-20 x 7/8|1/4-20 x 1|1/4-20 x 1-1/4|1/4-20 x 1-1/2|1/4-20 x 2|5/16-18 x 3/8|5/16-18 x 1/2|5/16-18 x 5/8|5/16-18 x 3/4|5/16-18 x 7/8|5/16-18 x 1|5/16-18 x 1-1/4|5/16-18 x 1-1/2|5/16-18 x 2|3/8-16 x 1/2|3/8-16 x 5/8|3/8-16 X 3/4|3/8-16 x 7/8|3/8-16 x 1|3/8-16 x 1-1/4|3/8-16 x 1-1/2|3/8-16 x 2|1/2-13 x 3/4|1/2-13 x 1|1/2-13 x 1-1/4|1/2-13 x 1-1/2|1/2-13 x 1-3/4|1/2-13 x 2|1/2-13 x 2-1/2
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 1-1/4-7 X 5;N/A
Tuercas;TUERCA MM;TUERCA MM HEX DIN NFF M10-1.00;N/A
Otros;CHAVETA NEGRA;CHAVETA NEGRA 3/32 X 1-1/2;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA F436 NGRA 1/4;N/A
Tuercas;"TUERCA CROMADA;"TUERCA CROMADA RIN DE ACERO ""CIEGA"" M12-1.50";N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO 3/4 X 2;N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 LIG 3 METRO NC 1/4-20;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 7/16-14 X 4;N/A
Birlos;BIRLO CROMADO;BIRLO CROMADO TUNER 12 X 1.25;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 EMP 1/4-20 X 3/4;N/A
Otros;7/8-11 BSF;7/8-11 BSF X 2 3/4 Autobus Scania Rueda Delantera;N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA 10 X 4.1/2;N/A
Tuercas;TUERCA MM;TUERCA MM INS NYLON NC M5-0.80;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 EMP 5/16-18 X 2.1/2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA EMP 1/2-13 X 5;N/A
Tornillos;TORNILLO ALL;TORNILLO ALL CIL CAB/BAJA M8-1.25 X 10;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA EMP 3/8-16 X 2;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1 X 3;N/A
Otros;TAQUETE ARPON;TAQUETE ARPON 3/8 X 5.1/2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 5/8-11 X 2.1/2;N/A
Otros;SENSOR TEMPERATURA;SENSOR TEMPERATURA FORD COURIER, IKON, KA (TS680);N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 1/8-40;N/A
Varillas;VARILLA G-5;VARILLA G-5 ROSCA PAVONADA 7/8-9 X 1MT;N/A
Tuercas;TUERCA HEX;TUERCA HEX 2H NEGRA 3/4-10;N/A
Tuercas;TUERCA MM;TUERCA MM HEX DIN NF M10-1.25;N/A
Otros;Sensor cigüeñal;Sensor cigüeñal Nissan Altima, Frontier, Sentra, 02-17 4Cil;N/A
Tuercas;TUERCA AUTOMOTRIZ;TUERCA AUTOMOTRIZ NISSAN SENTRA 12 X 1.25;N/A
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 1/2-13 X 1.1/2;N/A
Otros;"DISCO DIAMANTADO;"DISCO DIAMANTADO SEGMENTADO;4-1/2"""
Otros;CHAVETA GALVANIZADA;CHAVETA GALVANIZADA 1/16 X 1/2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 5/8-11 X 6;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA CABEZA/PUNTA 12 CABEZA/ACC INT PLUS 14 X 7/8;N/A
Otros;M12 x;M12 x 1.5 x 39 mm, Isuzu, Geo Tracker 81-93, Del/Trasera;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL AGUDA 10 X 3/4;N/A
Tuercas;TUERCA HEX;TUERCA HEX LATON 1/4-20;N/A
Otros;Sensor cigüeñal;Sensor cigüeñal Hyundai Attitude, Verna, Elantra, 01-12 4Cil;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 NEGRA UNF 3/8-24;N/A
Otros;VALVULA IAC;VALVULA IAC CHRYSLER ASPEN, JEEP LIBETY, WRANGLER (02-09);N/A
Birlos;"M22 x;"M22 x 1.5 x 4.275"" Birlo Especial Extrapesado";N/A
Otros;"1 1/8-16;"1 1/8-16 x 3.500"". Producción Especial.";N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 7/16-14 X 1.1/2;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2;10-24 X 1/2|10-24 X 3/4|10-24 X 1|10-24 X 1-1/4|10-24 X 1-1/2|10-24 X 2|1/4-20 X 1/2|1/4-20 X 3/4|1/4-20 X 1|1/4-20 X 1-1/4|1/4-20 X 1-1/2|1/4-20 X 2|1/4-20 X 2-1/2|1/4-20 X 3|1/4-20 X 3-1/2|1/4-20 X 4|1/4-20 X 4-1/2|1/4-20 X 5|1/4-20 X 5-1/2|1/4-20 X 6|1/4-20 X 6-1/2|1/4-20 X 7|1/4-20 X 8|5/16-18 X 1/2|5/16-18 X 3/4|5/16-18 X 1|5/16-18 X 1-1/4|5/16-18 X 1-1/2|5/16-18 X 2|5/16-18 X 2-1/2|5/16-18 X 3|5/16-18 X 3-1/2|5/16-18 X 4|5/16-18 X 4-1/2|5/16-18 X 5|5/16-18 X 5-1/2|5/16-18 X 6|5/16-18 X 7|5/16-18 X 8|3/8-16 X 3/4|3/8-16 X 1|3/8-16 X 1-1/4|3/8-16 X 1-1/2|3/8-16 X 2|3/8-16 X 2-1/2|3/8-16 X 3|3/8-16 X 3-1/2|3/8-16 X 4|3/8-16 X 4-1/2|3/8-16 X 5|3/8-16 X 5-1/2|3/8-16 X 6|3/8-16 X 6-1/2|3/8-16 X 7|3/8-16 X 8|3/8-16 X 9|3/8-16 X 10|7/16-14 X 3/4|7/16-14 X 1|7/16-14 X 1-1/4|7/16-14 X 1-1/2|7/16-14 X 2|7/16-14 X 2-1/2|7/16-14 X 3|7/16-14 X 3-1/2|7/16-14 X 4|7/16-14 X 4-1/2|7/16-14 X 5|7/16-14 X 5-1/2|7/16-14 X 6|7/16-14 X 7|7/16-14 X 8|7/16-14 X 10|1/2-13 X 3/4|1/2-13 X 1|1/2-13 X 1-1/4|1/2-13 X 1-1/2|1/2-13 X 2|1/2-13 X 2-1/2|1/2-13 X 3|1/2-13 X 3-1/2|1/2-13 X 4|1/2-13 X 4-1/2|1/2-13 X 5|1/2-13 X 5-1/2|1/2-13 X 6|1/2-13 X 7|1/2-13 X 8|1/2-13 X 9|5/8-11 X 1-1/2|5/8-11 X 2|5/8-11 X 2-1/2|5/8-11 X 3|5/8-11 X 3-1/2|5/8-11 X 4|5/8-11 X 4-1/2|5/8-11 X 5|5/8-11 X 5-1/2|5/8-11 X 6|5/8-11 X 7|5/8-11 X 8|5/8-11 X 10|3/4-10 X 1-1/2|3/4-10 X 2|3/4-10 X 2-1/2|3/4-10 X 3|3/4-10 X 3-1/2|3/4-10 X 4|3/4-10 X 4-1/2|3/4-10 X 5|3/4-10 X 5-1/2|3/4-10 X 6|3/4-10 X 7|3/4-10 X 8|3/4-10 X 9|3/4-10 X 10
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA 14 X 3.1/2 GALAXY;N/A
Otros;95CASQUILLO 12-1.75;95CASQUILLO 12-1.75 x 5/8-11 NC Largo;N/A
Otros;REMACHE POP;REMACHE POP AS66 D 3/16 X L 1/2 X R 3/8;N/A
Herramientas;JGO 3;JGO 3 MACHUELO ACERO AL CARBON MM;3-0.50|4-0.70|5-0.80|6-1.00|7-1.00|8-1.00|8-1.25|10-1.50|10-1.25|10-1.00|12-1.75|12-1.50|12-1.25|14-1.50
Otros;PERNO ROSCAADO;PERNO ROSCAADO M10 X 50;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL FLANGE GR-8 5/16-18 X 1.1/2;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA F436 NGRA 1.3/4;N/A
Otros;Sensor map;Sensor map Chevrolet Matiz, Spark, Aveo, 04-13;N/A
Pijas;PIJA MADERA;PIJA MADERA PH PLANA NGRA 6 X 1/2;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 EMP 1/4-20 X 3;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 1/2-13 X 2.1/2;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL FLANGE GR-8 3/4-10 X 6;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 5/16 X 6;N/A
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 1/4-20 X 1.1/2;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 3/4 X 8;N/A
Tuercas;TUERCA ALTA;TUERCA ALTA G-2 NF NEGRA 5/8-18;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA EMP 5/8-11 X 2.1/2;N/A
Otros;Maxima, Camioneta;Maxima, Camioneta Pick Up Nissan, M12 x 1.25 x 49.987 mm.;N/A
Otros;B.F. 9/16;B.F. 9/16 X 3 ROSCAA FINA-ESTANDAR;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO M6 X 40;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 9/16 X 6;N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA 8 X 3/4;N/A
Otros;"Flexometro Industrial;"Flexometro Industrial 3M x 5/8"" Handycraft";N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 5/16-18 X 4.1/2;N/A
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 5/8-11 X 1.3/4;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA 14 X 2.1/2 GALAXY;N/A
Otros;VALVULA IAC;VALVULA IAC HONDA ACCORD, ELEMENT (02-06);N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NF NEGRA EMP 5/16-24;N/A
Otros;Sensor map;Sensor map Dodge Atos, hyundai Elantra, Tiburon, Kia Rio, 01-12;N/A
Otros;SENSOR OXIGENO;SENSOR OXIGENO FORD FOCUS, EDGE, EXPLORER, ESCAPE (06-16);N/A
Otros;Sensor map;Sensor map Honda Accord, Civic, Odyssey, Acura Integra, 95-02;N/A
Otros;sensor tps;sensor tps Nissan Pathfinder, Frontier, Xterra, Infiniti, 96-04;N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA 14 X 3.1/2;N/A
Pijas;PIJA P/MADERA;PIJA P/MADERA CAB HEX 3/8 X 3;N/A
Otros;M 30;M 30 X 1.5 6 g Capuchon Corto MM- L;N/A
Tornillos;TORNILLO ALL;TORNILLO ALL CIL CAB/BAJA M6-1.00 X 45;N/A
Otros;CHILILLO RANURADO;CHILILLO RANURADO 10 X 100;N/A
Otros;m14 x;m14 x 1.5 mm TRAS Cheyenne,Pick Up;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 1-1/2-6 X 6;N/A
Otros;REMACHE POP;REMACHE POP AS86 D 1/4 X L 5/8 X R 3/8;N/A
Otros;ROND PRESION;ROND PRESION 3/16;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 9/16 X 1.1/2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA EMP 3/8-16 X 4;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL CL8.8 MM FINO;M8-1.00 x 20|M8-1.00 x 25|M8-1.00 x 30|M8-1.00 x 35|M8-1.00 x 40|M8-1.00 x 45|M8-1.00 x 50|M8-1.00 x 55|M8-1.00 x 60|M8-1.00 x 65|M8-1.00 x 70|M8-1.00 x 80|M8-1.00 x 90|M8-1.00 x 100|M10-1.25 x 20|M10-1.25 x 25|M10-1.25 x 30|M10-1.25 x 35|M10-1.25 x 40|M10-1.25 x 45|M10-1.25 x 50|M10-1.25 x 55|M10-1.25 x 60|M10-1.25 x 65|M10-1.25 x 70|M10-1.25 x 80|M10-1.25 x 90|M10-1.25 x 100|M10-1.25 x 110|M10-1.25 x 120|M10-1.25 x 130|M10-1.25 x 140|M10-1.25 x 150|M12-1.50 x 25|M12-1.50 x 30|M12-1.50 x 35|M12-1.50 x 40|M12-1.50 x 45|M12-1.50 x 50|M12-1.50 x 55|M12-1.50 x 60|M12-1.50 x 65|M12-1.50 x 70|M12-1.50 x 80|M12-1.50 x 90|M12-1.50 x 100|M12-1.50 x 110|M12-1.50 x 120|M12-1.50 x 130|M12-1.50 x 140|M12-1.50 x 150|M14-1.50 x 30|M14-1.50 x 35|M14-1.50 x 40|M14-1.50 x 45|M14-1.50 x 50|M14-1.50 x 55|M14-1.50 x 60|M14-1.50 x 65|M14-1.50 x 70|M14-1.50 x 75|M14-1.50 x 80|M14-1.50 x 85|M14-1.50 x 90|M14-1.50 x 95|M14-1.50 x 100|M14-1.50 x 110|M14-1.50 x 120|M14-1.50 x 130|M14-1.50 x 140|M14-1.50 x 150|M16-1.50 x 30|M16-1.50 x 35|M16-1.50 x 40|M16-1.50 x 45|M16-1.50 x 50|M16-1.50 x 55|M16-1.50 x 60|M16-1.50 x 70|M16-1.50 x 75|M16-1.50 x 80|M16-1.50 x 90|M16-1.50 x 100|M16-1.50 x 110|M16-1.50 x 120|M16-1.50 x 130|M16-1.50 x 140|M16-1.50 x 150
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 1/2-13 X 6;N/A
Otros;ROND PRESION;ROND PRESION 1/4;N/A
Pijas;PIJA MADERA;PIJA MADERA PH PLANA NGRA 8 X 1.1/4;N/A
Otros;TAQUETE TX;TAQUETE TX TROPICALIZADO PLUS 5/8-11 X 4;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1-1/8 X 6;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA PLUS 14 X 1.1/4;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA PLUS 8 X 1.1/4;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL FLANGE GR-8 5/16-18 X 2;N/A
Otros;"TAQUETE EXPANSIVO;"TAQUETE EXPANSIVO ""Z"" 5/16-18";N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL P/BROCA CABEZA/ACC INT EMP 14 X 2 GALAXY;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 5/8-11 X 1.1/4;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB EMP 10 X 2.1/2;N/A
Otros;M 22;M 22 x 1.5 x 76MM AUTOBUS MERCEDEZ BENZ 90/93 DELA;N/A
Rondanas;RONDANA ESTRELLA;RONDANA ESTRELLA EXTERIOR #4;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA KG 1/2;N/A
Otros;Sensor cigüeñal;Sensor cigüeñal VW Golf, Jetta, Cabrio, Passat, 93-98 4Cil;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO 1/2 X 1.3/4;N/A
Otros;M12 x;M12 x 1.5x 55mm, Ford Windstar, 00-03.;N/A
Tuercas;"TUERCA GRIPCO;"TUERCA GRIPCO GRADO ""C"" NF 5/8-18";N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR5 3/4-10 X 6;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1/2 X 4;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR5 1/2-13 X 1-1/2;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL FLANGE GR-8 3/4-10 X 3;N/A
Birlos;"1/2""-20 x;"1/2""-20 x 1"" Hex. 3/4"" Birlo Conico Agricola Universal";N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 EMP 1/2-13 X 2;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 5/16-18 X 1;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA EMP 14 X 5 GALAXY;N/A
Tornillos;TORNILLO CENTRO;TORNILLO CENTRO DE MUELLE GR-8 3/8 X 6;N/A
Otros;Bobina ignicion;Bobina ignicion Peugeot 206, Partner, 308, 207 (UF686);N/A
Tornillos;TORNILLO SOCKET;TORNILLO SOCKET CABEZA/BOTON NC;4-40 x 1/4|4-40 x 3/8|4-40 x 1/2|5-40 x 1/4|5-40 x 3/8|5-40 x 1/2|5-40 x 3/4|5-40 x 1|6-32 x 1/4|6-32 x 5/16|6-32 x 3/8|6-32 x 1/2|6-32 x 3/4|6-32 x 1|8-32 x 1/4|8-32 x 5/16|8-32 x 3/8|8-32 x 1/2|8-32 x 3/4|8-32 x 1|8-32 x 1.1/4|8-32 x 1.1/2|10-24 x 1/4|10-24 x 3/8|10-24 x 1/2|10-24 x 5/8|10-24 x 3/4|10-24 x 7/8|10-24 x 1|10-24 x 1.1/4|10-24 x 1.1/2|10-24 x 1.3/4|10-24 x 2|10-24 x 2.1/2|1/4-20 x 1/4|1/4-20 x 5/16 NVO|1/4-20 x 3/8|1/4-20 x 1/2|1/4-20 x 5/8|1/4-20 x 3/4|1/4-20 x 7/8|1/4-20 x 1|1/4-20 x 1.1/4|1/4-20 x 1.1/2|1/4-20 x 1.3/4|1/4-20 x 2|1/4-20 x 2.1/2|1/4-20 x 3|1/4-20 x 3-1/2|1/4-20 x 4|5/16-18 x 1/4|5/16-18 x 3/8|5/16-18 x 1/2|5/16-18 x 5/8|5/16-18 x 3/4|5/16-18 x 7/8|5/16-18 x 1|5/16-18 x 1.1/4|5/16-18 x 1.1/2|5/16-18 x 1.3/4|5/16-18 x 2|5/16-18 x 2.1/4|5/16-18 x 2.1/2|5/16-18 x 3|5/16-18 x 3.1/2|5/16-18 x 4|5/16-18 x 4.1/2|5/16-18 x 5|3/8-16 x 1/2|3/8-16 x 5/8|3/8-16 x 3/4|3/8-16 x 7/8|3/8-16 x 1|3/8-16 x 1.1/4|3/8-16 x 1.1/2|3/8-16 x 1.3/4|3/8-16 x 2|3/8-16 x 2.1/4|3/8-16 x 2.1/2|3/8-16 x 3|3/8-16 x 3.1/2|3/8-16 x 4|7/16-14 x 1 NVO|7/16-14 x 1.1/4 NVO|7/16-14 x 1.1/2|7/16-14 x 2 NVO|7/16-14 x 2.1/2 NVO|7/16-14 x 3 NVO|1/2-13 x 1/2|1/2-13 x 3/4|1/2-13 x 1|1/2-13 x 1.1/4|1/2-13 x 1.1/2|1/2-13 x 1.3/4|1/2-13 x 2|1/2-13 x 2.1/4|1/2-13 x 2.1/2|1/2-13 x 2.3/4|1/2-13 x 3|1/2-13 X 3.1/2|1/2-13 X 4|1/2-13 X 4.1/2 NVO|1/2-13 X 5|1/2-13 X 5.1/2 NVO|1/2-13 X 6|5/8-11 x 1|5/8-11 x 1.1/4|5/8-11 x 1.1/2|5/8-11 x 1.3/4|5/8-11 x 2|5/8-11 x 2.1/2|5/8-11 x 3|5/8-11 x 3.1/2|5/8-11 x 4|5/8-11 x 4.1/2 NVO|5/8-11 x 5 NVO|5/8-11 x 6 NVO|3/4-10 x 2|3/4-10 x 2-1/2|3/4-10 x 3 NVO|3/4-10 x 3.1/2 NVO|3/4-10 x 4|3/4-10 x 5 NVO|3/4-10 x 6 NVO
Otros;SENSOR OXIGENO;SENSOR OXIGENO CHRYSLER CARAVAN, 300M, CONCORDE (96-03);N/A
Varillas;VARILLA ROSCAADA;VARILLA ROSCAADA INOXIDABLE 304;3 PIES 10-24|3 PIES 1/4-20|3 PIES 5/16-18|3 PIES 3/8-16|3 PIES 7/16-14|3 PIES 1/2-13|3 PIES 5/8-11|3 PIES 3/4-10|3 PIES 7/8-9|3 PIES 1-8|3 PIES 1-1/8-7|3 PIES 1-1/4-7|3 PIES 1-1/2-6
Otros;SENSOR OXIGENO;SENSOR OXIGENO CHEVROLET CHEVY, BLAZER, CAVALIER (92-04);N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL CL8.8 MM EX-FINO;M10-1.00 x 20|M10-1.00 x 25|M10-1.00 x 30|M10-1.00 x 35|M10-1.00 x 40|M10-1.00 x 45|M10-1.00 x 50|M10-1.00 x 55|M10-1.00 x 60|M10-1.00 x 65|M10-1.00 x 70|M10-1.00 x 80|M10-1.00 x 90|M10-1.00 x 100|M12-1.25 x 25|M12-1.25 x 30|M12-1.25 x 35|M12-1.25 x 40|M12-1.25 x 45|M12-1.25 x 50|M12-1.25 x 55|M12-1.25 x 60|M12-1.25 x 65|M12-1.25 x 70|M12-1.25 x 80|M12-1.25 x 90|M12-1.25 x 100|M12-1.25 x 110|M12-1.25 x 120|M12-1.25 x 130|M12-1.25 x 140|M12-1.25 x 150
Tuercas;TUERCA MM;TUERCA MM HEX DIN NC M5-0.80;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL AGUDA EMP 14 X 2-1/2;N/A
Pijas;PIJA MADERA;PIJA MADERA PH PLANA NGRA EMP 14 X 2-1/2;N/A
Otros;Sensor maf;Sensor maf Nissan Pathfinder, Quest, Xterra, Frontier, 98-04;N/A
Birlos;"9/16-12 x;"9/16-12 x 3 1/2"" x 9/16-18, Birlo de Flecha";N/A
Pijas;PIJA MADERA;PIJA MADERA PH PLANA NGRA EMP 10 X 4;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL P/BROCA CABEZA/ACC INT EMP 14 X 1-1/4 GALAXY;N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 1 METRO NF 5/16-24;N/A
Tornillos;TORNILLO CENTRO;TORNILLO CENTRO DE MUELLE GR-8 1/2 X 8;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA PLUS EMP 14 X 3/4;N/A
Tuercas;"TUERCA CROMADA;"TUERCA CROMADA RIN DE ACERO ""CIEGA"" 1/2-20";N/A
Tuercas;TUERCA HEX;TUERCA HEX 2H NEGRA 1.7/8-8;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO 1/2 X 1.1/2;N/A
Otros;SEGURO ARGOLLA;SEGURO ARGOLLA DE 7/16;N/A
Otros;PERNO RANURADO;PERNO RANURADO 1/4 x 3/4;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO M16 X 30;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 NEGRA UNF 3/4-16;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA TROPICALIZADO 14 X 1 GALAXY;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL AGUDA EMP 5/16 X 1-1/4;N/A
Tornillos;TORNILLON. CENTRO;TORNILLON. CENTRO DE MUELLE GR8 CABEZA ALTA -NEGRO 1/2-20 X 6;N/A
Otros;7/16-20 X;7/16-20 X 1.625, Cam.Chevrolet 71-89, C-10, Nac 1/2 ton.Del/tras;N/A
Tornillos;TORNILLO AUTORNILLOOSCANTE;TORNILLO AUTORNILLOOSCANTE PUNTA F 5/16 x 1-1/4;N/A
